,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Greece,Greece,GPE,-0.25541420,0.47867603,en,18.40000000,4022047-3,390903,A,39.0,22.0,EUROPE-AFRICA,Greece,MED
Attica,Attica,GPE,-0.22827210,0.69067607,en,7.40000000,,6692632,A,37.92037,23.9035,EUROPE-AFRICA,Greece,MED
Albania,Albania,GPE,-0.14000000,0.30000000,en,5.00000000,4001028-4,783754,A,41.0,20.0,EUROPE-AFRICA,Albania,MED
Ioannina,Ioannina,GPE,-0.38750000,0.46250000,en,3.00000000,4197925-4,261779,P,39.66341,20.85187,EUROPE-AFRICA,Greece,MED
Corfu,Corfu,LOC,-0.49038462,0.50320513,en,2.60000000,4192393-5,2463679,P,39.62441,19.92016,EUROPE-AFRICA,Greece,MED
Eastern Aegean,Eastern Aegean,LOC,-0.56538462,0.61025641,en,2.60000000,,0,L,37.99758,25.78002,,,
Tzoumerka,Tzoumerka,GPE,-0.72000000,0.74666667,en,2.50000000,4761899-1,264382,T,39.44766,21.15341,EUROPE-AFRICA,Greece,MED
Moschato,Moschato,GPE,-0.58333333,0.55555556,en,2.40000000,,256750,P,37.94789,23.6788,EUROPE-AFRICA,Greece,MED
Laconia,Laconia,GPE,-0.82352941,0.78431373,en,1.70000000,,258657,A,37.0,22.58333,EUROPE-AFRICA,Greece,MED
Southern Peloponnese,Southern Peloponnese,LOC,-0.20588235,0.26960784,en,1.70000000,,255620,L,37.5,22.33333,EUROPE-AFRICA,Greece,MED
Meteo,Meteo,GPE,0.38461538,0.43589744,en,1.30000000,,10858768,P,-4.35998,15.23905,AFRICA,Democratic Republic of the Congo,CAF
Argolida,Argolida,GPE,-0.70000000,0.66666667,en,1.00000000,,264673,A,37.66667,22.83333,EUROPE-AFRICA,Greece,MED
Evia,Evia,LOC,0.10000000,0.50000000,en,1.00000000,4015642-4,262565,T,38.5,24.0,EUROPE-AFRICA,Greece,MED
Piraeus,Piraeus,GPE,-0.40000000,0.53333333,en,1.00000000,4115976-7,255274,P,37.94203,23.64619,EUROPE-AFRICA,Greece,MED
the Ionian Islands,the Ionian Islands,GPE,-0.35000000,0.33333333,en,1.00000000,,10112063,S,39.78942,19.72041,EUROPE-AFRICA,Greece,MED
Kefalonia,Kefalonia,GPE,-0.70000000,0.66666667,en,1.00000000,4030124-2,6299491,S,38.12007,20.50048,EUROPE-AFRICA,Greece,MED
Argolis,Argolis,GPE,-0.70000000,0.66666667,en,1.00000000,4002893-8,264673,A,37.66667,22.83333,EUROPE-AFRICA,Greece,MED
Ilia,Ilia,LOC,0.00000000,0.00000000,en,1.00000000,4014440-9,261797,A,37.75,21.58333,EUROPE-AFRICA,Greece,MED
Peloponnese,Peloponnese,GPE,-0.35000000,0.33333333,en,1.00000000,4045064-8,255620,L,37.5,22.33333,EUROPE-AFRICA,Greece,MED
Central,Central,LOC,-0.17500000,0.22916667,en,1.00000000,,0,L,50.28762,15.1903,,,
North Aegean,North Aegean,GPE,-0.30000000,0.38888889,en,1.00000000,,6697806,A,37.71942,26.81956,EUROPE-AFRICA,Greece,MED
Eastern Macedonia,Eastern Macedonia,LOC,-0.17500000,0.22916667,en,1.00000000,,729441,L,41.40544,23.09373,EUROPE-AFRICA,Bulgaria,MED
Crete,Crete,GPE,0.00000000,0.00000000,en,1.00000000,4073791-3,258764,L,35.16667,25.0,EUROPE-AFRICA,Greece,MED
Aitoloakarnania - Roads,Aitoloakarnania - Roads,LOC,-0.35000000,0.33333333,en,1.00000000,,0,,,,,,
Neochorio Karditsa Earthquake,Neochorio Karditsa Earthquake,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Karditsa,Karditsa,GPE,0.00000000,0.00000000,en,1.00000000,4292384-0,260989,P,39.36485,21.92191,EUROPE-AFRICA,Greece,MED
Vonica,Vonica,GPE,-0.41250000,0.52083333,en,1.00000000,,0,,,,,,
Macedonia,Macedonia,GPE,-0.15625000,0.66041667,en,1.00000000,4114937-3,718075,A,41.66667,21.75,EUROPE-AFRICA,North Macedonia,MED
Grammos,Grammos,GPE,-0.12500000,0.37500000,en,1.00000000,4355151-8,783061,T,40.34798,20.77944,EUROPE-AFRICA,Greece,MED
Cyprus,Cyprus,GPE,-0.12777778,0.47222222,en,1.00000000,4241756-9,146669,A,35.0,33.0,EUROPE-AFRICA,Cyprus,MED
Plataria,Plataria,GPE,-0.28125000,0.41041667,en,1.00000000,,255013,P,39.45044,20.27781,EUROPE-AFRICA,Greece,MED
Igoumenitsa,Igoumenitsa,LOC,-0.28125000,0.41041667,en,1.00000000,,261807,P,39.50342,20.26728,EUROPE-AFRICA,Greece,MED
Giannitsochori,Giannitsochori,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
