,phrase,label,sentiment,subjectivity,language,count
|,|,CARDINAL,,,en,6.2
Bad,Bad,WORK_OF_ART,,,en,4.7
the next few hours,the next few hours,TIME,,,en,4.0
Friday,Friday,DATE,,,en,3.9000000000000004
Dodecanese,Dodecanese,NORP,,,en,3.4000000000000004
today,today,DATE,,,en,3.4000000000000004
November,November,DATE,,,en,2.6
Epirus,Epirus,NORP,,,en,1.8
10,10,CARDINAL,,,en,1.8
night,night,TIME,,,en,1.8
yesterday,yesterday,DATE,,,en,1.8
Western,Western,NORP,,,en,1.7
Thursday,Thursday,DATE,,,en,1.7
Ionian,Ionian,NORP,,,en,1.7
midnight,midnight,TIME,,,en,1.0
the last two days,the last two days,DATE,,,en,1.0
3.2,3.2,CARDINAL,,,en,1.0
the middle of the week,the middle of the week,DATE,,,en,1.0
Saturday,Saturday,DATE,,,en,1.0
Red Code,Red Code,WORK_OF_ART,,,en,1.0
200 mm,200 mm,QUANTITY,,,en,1.0
Adel,Adel,PRODUCT,,,en,1.0
late afternoon,late afternoon,TIME,,,en,1.0
4.8,4.8,CARDINAL,,,en,1.0
noon,noon,TIME,,,en,1.0
Attica:,Attica:,WORK_OF_ART,,,en,1.0
12 hours,12 hours,TIME,,,en,1.0
| Weather |,| Weather |,WORK_OF_ART,,,en,1.0
the next hours,the next hours,TIME,,,en,1.0
Greek,Greek,NORP,,,en,1.0
morning,morning,TIME,,,en,1.0
112,112,CARDINAL,,,en,1.0
112 rang,112 rang,MONEY,,,en,1.0
Albania: Biblical,Albania: Biblical,WORK_OF_ART,,,en,1.0
the National Observatory of Athens,the National Observatory of Athens,FAC,,,en,1.0
a few days,a few days,DATE,,,en,1.0
"December 1, 2025","December 1, 2025",DATE,,,en,1.0
the spring of 2024,the spring of 2024,DATE,,,en,1.0
Five,Five,CARDINAL,,,en,1.0
dozens,dozens,CARDINAL,,,en,1.0
Vonitsa,Vonitsa,WORK_OF_ART,,,en,1.0
next week,next week,DATE,,,en,1.0
hundreds,hundreds,CARDINAL,,,en,1.0
Hundreds,Hundreds,CARDINAL,,,en,1.0
tonight,tonight,TIME,,,en,1.0
Deadly,Deadly,PRODUCT,,,en,1.0
the last few days,the last few days,DATE,,,en,1.0
4.1,4.1,CARDINAL,,,en,1.0
1 kilometer,1 kilometer,QUANTITY,,,en,1.0
Attica - Emergency,Attica - Emergency,WORK_OF_ART,,,en,1.0
tomorrow,tomorrow,DATE,,,en,1.0
about 7:30,about 7:30,TIME,,,en,1.0
an hour,an hour,TIME,,,en,1.0
Monday,Monday,DATE,,,en,1.0
5 kilometers,5 kilometers,QUANTITY,,,en,1.0
